"filename", "language", "C++", "JSON", "Markdown", "Dart", "YAML", "Swift", "XML", "HTML", "PHP", "JavaScript", "CSS", "Properties", "Groovy", "Kotlin", "comment", "blank", "total"
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 1, 1, 38
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 1, 1, 27
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\ios\Runner\Runner-Bridging-Header.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\lib\api\api_connections.dart", "Dart", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 10
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\lib\api\order_api\order_abs.dart", "Dart", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\lib\api\order_api\order_api.dart", "Dart", 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 70
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\lib\log_and_reg\login_page.dart", "Dart", 0, 0, 0, 288, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 297
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\lib\log_and_reg\register_page.dart", "Dart", 0, 0, 0, 392, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 11, 447
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\lib\main.dart", "Dart", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 40
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\lib\models\address.dart", "Dart", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 29
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\lib\models\category.dart", "Dart", 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 49
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\lib\models\order.dart", "Dart", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 46
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\lib\models\product.dart", "Dart", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 45
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\lib\models\user.dart", "Dart", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\lib\pages\all_orders.dart", "Dart", 0, 0, 0, 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 132
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\lib\pages\cart_page.dart", "Dart", 0, 0, 0, 453, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 460
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\lib\pages\category_page.dart", "Dart", 0, 0, 0, 478, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 489
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\lib\pages\map.dart", "Dart", 0, 0, 0, 153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15, 171
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\lib\pages\menu_page.dart", "Dart", 0, 0, 0, 402, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 410
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\lib\pages\product_about_page.dart", "Dart", 0, 0, 0, 471, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 480
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\lib\state_menagement_provider\cart_provider.dart", "Dart", 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 105
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\lib\state_menagement_provider\side_bar_page.dart", "Dart", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\lib\utils\dimension.dart", "Dart", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 36
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\lib\utils\shared_prefer.dart", "Dart", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 58
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\lib\widgets\loading_screen.dart", "Dart", 0, 0, 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 124
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\lib\widgets\main_page_widget.dart", "Dart", 0, 0, 0, 508, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 517
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\lib\widgets\side_bar.dart", "Dart", 0, 0, 0, 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 141
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\linux\flutter\generated_plugin_registrant.cc", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
